crop,year,state,fertilizer,pesticide,yield,avg_temp_c,total_rainfall_mm,avg_humidity_percent,n,p,k,ph,ndvi,evi,gdd,rainfall_var
37,1998,2,7603450.4,22317.82,7.230434783,22.98,1701.15,73.03,60,18,38,5.8,0.5842399271608826,0.780826604720098,12.98,286.3123451069846
39,1998,2,28536305.2,83760.41,0.473478261,22.98,1701.15,73.03,60,18,38,5.8,0.5164940234045592,0.5880939343359524,12.98,286.3123451069846
40,1998,2,58783925.2,172543.91,1.055652174,22.98,1701.15,73.03,60,18,38,5.8,0.331101604780229,0.565157526301439,12.98,286.3123451069846
40,1998,2,22122604.4,64934.77,1.685217391,22.98,1701.15,73.03,60,18,38,5.8,0.25813873771728146,0.5869550149892252,12.98,286.3123451069846
40,1998,2,161560724.0,474216.7,1.395652174,22.98,1701.15,73.03,60,18,38,5.8,0.6976042712953862,0.6616489936860397,12.98,286.3123451069846
43,1998,2,1574872.0,4622.6,0.485217391,22.98,1701.15,73.03,60,18,38,5.8,0.8910577768513859,0.7803398934512377,12.98,286.3123451069846
44,1998,2,1042043.6,3058.63,0.521363636,22.98,1701.15,73.03,60,18,38,5.8,0.4235384588336393,0.5251076402253423,12.98,286.3123451069846
46,1998,2,3020414.8,8865.59,39.89304348,22.98,1701.15,73.03,60,18,38,5.8,0.2614540160590508,0.7337559178705031,12.98,286.3123451069846
48,1998,2,931980.4,2735.57,3.435652174,22.98,1701.15,73.03,60,18,38,5.8,0.713594934712255,0.12915277421085924,12.98,286.3123451069846
49,1998,2,276442.4,811.42,4.445217391,22.98,1701.15,73.03,60,18,38,5.8,0.6298112512127894,0.48065706826892785,12.98,286.3123451069846
50,1998,2,144742.0,424.85,0.569545455,22.98,1701.15,73.03,60,18,38,5.8,0.6499852575683536,0.2750179070299348,12.98,286.3123451069846
51,1998,2,1060025.2,3111.41,0.666956522,22.98,1701.15,73.03,60,18,38,5.8,0.4453126089567002,0.20772935008520388,12.98,286.3123451069846
53,1998,2,8851590.8,25981.39,0.999545455,22.98,1701.15,73.03,60,18,38,5.8,0.7093074781391255,0.17181115554967777,12.98,286.3123451069846
0,1998,6,148200.0,435.0,1.21,27.35,2059.15,74.64,65,25,45,6.2,0.5628342048636674,0.5129740023491155,17.35,510.9101613996654
3,1998,6,187720.0,551.0,7.58,27.35,2059.15,74.64,65,25,45,6.2,0.3206622923640995,0.42078982850665436,17.35,510.9101613996654
5,1998,6,24700.0,72.5,0.28,27.35,2059.15,74.64,65,25,45,6.2,0.5969886534871065,0.15660460576210433,17.35,510.9101613996654
7,1998,6,5224050.0,15333.75,0.28,27.35,2059.15,74.64,65,25,45,6.2,0.2146617796754614,0.5253702718179735,17.35,510.9101613996654
